# Sugarloaf-Chiricahua-NM Site number 11
# Filter out cloudy times ? NO
# Cloud fitting ndata 11 Chisqlimit 0.009
# darklimit 29.0
# brightlimit 1.0
#JD,JDM,UTC,Tloc,LST,chisquared,moonalt,sunalt,MWalt,Etempc,volt,SQM,Winds,run_count,night_count,JD_mid
2460310.791667, 0.000000,     2024-01-01 07:00:00, 2024-01-01 00:00:00,   6.407864, 4.0000e-05, 25.180, -79.938, 81.399, 4.97,  12.78, 20.55,     1.912,     0,    0, 0.791667
2460310.798611, 0.166670,     2024-01-01 07:10:00, 2024-01-01 00:10:00,   6.574987, 9.1429e-05, 27.234, -80.722, 79.356, 4.96,  12.77, 20.49,     1.917,     1,    0, 0.791667
2460310.805556, 0.333330,     2024-01-01 07:20:00, 2024-01-01 00:20:00,   6.742110, 9.1429e-05, 29.285, -81.016, 77.277, 5.09,  12.77, 20.43,     2.063,     2,    0, 0.791667
2460310.812500, 0.500000,     2024-01-01 07:30:00, 2024-01-01 00:30:00,   6.909233, 1.8286e-04, 31.331, -80.774, 75.176, 5.02,  12.74, 20.36,     2.018,     3,    0, 0.791667
2460310.819444, 0.666670,     2024-01-01 07:40:00, 2024-01-01 00:40:00,   7.076356, 1.0000e-05, 33.371, -80.035, 73.065, 5.07,  12.75, 20.27,     2.070,     4,    0, 0.791667
2460310.826389, 0.833330,     2024-01-01 07:50:00, 2024-01-01 00:50:00,   7.243479, 1.1429e-05, 35.403, -78.897, 70.946, 4.96,  12.76, 20.14,     2.308,     5,    0, 0.791667
2460310.833333, 1.000000,     2024-01-01 08:00:00, 2024-01-01 01:00:00,   7.410602, 2.2857e-05, 37.426, -77.470, 68.822, 4.99,  12.76, 20.01,     2.223,     6,    0, 0.791667
2460310.840278, 1.166670,     2024-01-01 08:10:00, 2024-01-01 01:10:00,   7.577725, 4.5714e-05, 39.437, -75.840, 66.698, 4.77,  12.75, 19.88,     2.157,     7,    0, 0.791667
2460310.847222, 1.333330,     2024-01-01 08:20:00, 2024-01-01 01:20:00,   7.744848, 1.0000e-05, 41.433, -74.071, 64.572, 4.77,  12.75, 19.75,     2.125,     8,    0, 0.791667
2460310.854167, 1.500000,     2024-01-01 08:30:00, 2024-01-01 01:30:00,   7.911971, 1.1429e-05, 43.412, -72.204, 62.447, 5.21,  12.72, 19.61,     2.309,     9,    0, 0.791667
2460310.861111, 1.666670,     2024-01-01 08:40:00, 2024-01-01 01:40:00,   8.079094, 4.0000e-05, 45.370, -70.269, 60.324, 5.17,  12.73, 19.48,     2.041,    10,    0, 0.791667
2460310.868056, 1.833330,     2024-01-01 08:50:00, 2024-01-01 01:50:00,   8.246217, 1.1429e-05, 47.304, -68.283, 58.203, 4.91,  12.74, 19.36,     2.459,    11,    0, 0.791667
2460310.875000, 2.000000,     2024-01-01 09:00:00, 2024-01-01 02:00:00,   8.413340, 1.1429e-05, 49.210, -66.261, 56.085, 5.00,  12.73, 19.25,     2.530,    12,    0, 0.791667
2460310.881944, 2.166670,     2024-01-01 09:10:00, 2024-01-01 02:10:00,   8.580463, 1.0000e-05, 51.081, -64.212, 53.971, 4.85,  12.73, 19.14,     2.507,    13,    0, 0.791667
2460310.888889, 2.333330,     2024-01-01 09:20:00, 2024-01-01 02:20:00,   8.747586, 1.0000e-05, 52.913, -62.142, 51.860, 5.00,  12.73, 19.02,     2.301,    14,    0, 0.791667
2460310.895833, 2.500000,     2024-01-01 09:30:00, 2024-01-01 02:30:00,   8.914709, 1.1429e-05, 54.698, -60.057, 49.755, 5.17,  12.70, 18.89,     2.134,    15,    0, 0.791667
2460310.902778, 2.666670,     2024-01-01 09:40:00, 2024-01-01 02:40:00,   9.081832, 4.5714e-05, 56.428, -57.960, 47.654, 5.20,  12.72, 18.76,     2.108,    16,    0, 0.791667
2460310.909722, 2.833330,     2024-01-01 09:50:00, 2024-01-01 02:50:00,   9.248955, 2.2857e-05, 58.092, -55.855, 45.560, 5.00,  12.72, 18.62,     2.297,    17,    0, 0.791667
2460310.916667, 3.000000,     2024-01-01 10:00:00, 2024-01-01 03:00:00,   9.416078, 4.5714e-05, 59.680, -53.744, 43.471, 5.20,  12.71, 18.48,     2.945,    18,    0, 0.791667
2460310.923611, 3.166670,     2024-01-01 10:10:00, 2024-01-01 03:10:00,   9.583201, 1.1429e-05, 61.178, -51.629, 41.389, 5.38,  12.71, 18.34,     3.339,    19,    0, 0.791667
2460310.930556, 3.333330,     2024-01-01 10:20:00, 2024-01-01 03:20:00,   9.750324, 1.1429e-05, 62.571, -49.511, 39.315, 5.54,  12.71, 18.22,     3.537,    20,    0, 0.791667
2460310.937500, 3.500000,     2024-01-01 10:30:00, 2024-01-01 03:30:00,   9.917447, 4.5714e-05, 63.841, -47.392, 37.248, 5.66,  12.69, 18.10,     3.209,    21,    0, 0.791667
2460310.944444, 3.666670,     2024-01-01 10:40:00, 2024-01-01 03:40:00,  10.084570, 2.2857e-05, 64.969, -45.273, 35.190, 5.60,  12.70, 17.98,     2.169,    22,    0, 0.791667
2460310.951389, 3.833330,     2024-01-01 10:50:00, 2024-01-01 03:50:00,  10.251693, 4.5714e-05, 65.934, -43.155, 33.141, 5.60,  12.70, 17.87,     2.092,    23,    0, 0.791667
2460310.958333, 4.000000,     2024-01-01 11:00:00, 2024-01-01 04:00:00,  10.418816, 1.1429e-05, 66.716, -41.039, 31.101, 5.43,  12.70, 17.76,     2.482,    24,    0, 0.791667
2460310.965278, 4.166670,     2024-01-01 11:10:00, 2024-01-01 04:10:00,  10.585939, 1.0000e-05, 67.295, -38.927, 29.072, 5.40,  12.69, 17.67,     2.630,    25,    0, 0.791667
2460310.972222, 4.333330,     2024-01-01 11:20:00, 2024-01-01 04:20:00,  10.753062, 2.2857e-05, 67.655, -36.818, 27.054, 5.39,  12.67, 17.59,     2.376,    26,    0, 0.791667
2460310.979167, 4.500000,     2024-01-01 11:30:00, 2024-01-01 04:30:00,  10.920185, 2.2857e-05, 67.784, -34.713, 25.047, 5.27,  12.66, 17.50,     2.001,    27,    0, 0.791667
2460310.986111, 4.666670,     2024-01-01 11:40:00, 2024-01-01 04:40:00,  11.087308, 9.1429e-05, 67.680, -32.615, 23.053, 5.25,  12.68, 17.42,     2.650,    28,    0, 0.791667
2460310.993056, 4.833330,     2024-01-01 11:50:00, 2024-01-01 04:50:00,  11.254431, 2.2857e-05, 67.345, -30.522, 21.072, 5.39,  12.68, 17.38,     2.513,    29,    0, 0.791667
2460311.000000, 5.000000,     2024-01-01 12:00:00, 2024-01-01 05:00:00,  11.421554, 2.5143e-04, 66.789, -28.436, 19.105, 5.18,  12.67, 17.44,     2.066,    30,    0, 0.791667
2460311.006944, 5.166670,     2024-01-01 12:10:00, 2024-01-01 05:10:00,  11.588677, 8.2286e-04, 66.027, -26.357, 17.153, 5.09,  12.67, 17.59,     1.541,    31,    0, 0.791667
2460311.013889, 5.333330,     2024-01-01 12:20:00, 2024-01-01 05:20:00,  11.755800, 3.2000e-04, 65.078, -24.287, 15.218, 4.99,  12.67, 17.76,     1.583,    32,    0, 0.791667
2460311.020833, 5.500000,     2024-01-01 12:30:00, 2024-01-01 05:30:00,  11.922923, 6.9143e-04, 63.963, -22.227, 13.299, 4.99,  12.64, 17.96,     1.374,    33,    0, 0.791667
2460311.027778, 5.666670,     2024-01-01 12:40:00, 2024-01-01 05:40:00,  12.090046, 4.5143e-04, 62.703, -20.176, 11.398, 5.01,  12.65, 18.16,     1.756,    34,    0, 0.791667
2460311.034722, 5.833330,     2024-01-01 12:50:00, 2024-01-01 05:50:00,  12.257169, 6.2857e-05, 61.317, -18.136, 9.516, 5.04,  12.65, 18.34,     0.419,    35,    0, 0.791667
2460311.041667, 6.000000,     2024-01-01 13:00:00, 2024-01-01 06:00:00,  12.424292, 2.5143e-04, 59.822, -16.108, 7.655, 4.88,  12.64, 18.50,     0.646,    36,    0, 0.791667
2460311.048611, 6.166670,     2024-01-01 13:10:00, 2024-01-01 06:10:00,  12.591415, 4.5714e-05, 58.235, -14.092, 6.135, 4.81,  12.64, 18.65,     0.320,    37,    0, 0.791667
2460311.055556, 6.333330,     2024-01-01 13:20:00, 2024-01-01 06:20:00,  12.758538, 1.1429e-05, 56.569, -12.090, 5.209, 4.61,  12.63, 18.76,     0.697,    38,    0, 0.791667
2460311.062500, 6.500000,     2024-01-01 13:30:00, 2024-01-01 06:30:00,  12.925661, 6.2857e-05, 54.835, -10.103, 5.064, 4.48,  12.61, 18.58,     1.076,    39,    0, 0.791667
2460311.069444, 6.666670,     2024-01-01 13:40:00, 2024-01-01 06:40:00,  13.092784, 8.5314e-03, 53.044, -8.131, 5.624, 4.61,  12.61, 17.60,     0.778,    40,    0, 0.791667
2460311.076389, 6.833330,     2024-01-01 13:50:00, 2024-01-01 06:50:00,  13.259907, 5.8726e-02, 51.204, -6.177, 7.082, 4.85,  12.61, 15.68,     1.660,    41,    0, 0.791667
2460311.083333, 7.000000,     2024-01-01 14:00:00, 2024-01-01 07:00:00,  13.427029, 4.4206e-02, 49.322, -4.240, 8.571, 5.01,  12.61, 13.11,     1.870,    42,    0, 0.791667
2460311.527778, -6.333330,     2024-01-02 00:40:00, 2024-01-01 17:40:00,   0.122900, 6.9966e-02, -49.800, -3.934, 59.875, 8.08,  12.95, 9.40,     1.334,    43,    1, 0.791667
2460311.534722, -6.166670,     2024-01-02 00:50:00, 2024-01-01 17:50:00,   0.290023, 3.4446e-02, -49.150, -5.867, 59.602, 8.04,  12.95, 11.70,     1.280,    44,    1, 0.791667
2460311.541667, -6.000000,     2024-01-02 01:00:00, 2024-01-01 18:00:00,   0.457146, 4.5006e-02, -48.383, -7.819, 59.247, 8.20,  12.94, 14.47,     1.405,    45,    1, 0.791667
2460311.548611, -5.833330,     2024-01-02 01:10:00, 2024-01-01 18:10:00,   0.624269, 1.0000e-05, -47.507, -9.788, 58.812, 8.18,  12.93, 16.53,     1.348,    46,    1, 0.791667
2460311.555556, -5.666670,     2024-01-02 01:20:00, 2024-01-01 18:20:00,   0.791392, 1.2571e-04, -46.528, -11.773, 58.302, 8.05,  12.92, 18.71,     1.027,    47,    1, 0.791667
2460311.562500, -5.500000,     2024-01-02 01:30:00, 2024-01-01 18:30:00,   0.958515, 4.6514e-03, -45.452, -13.773, 57.719, 7.58,  12.90, 20.39,     1.285,    48,    1, 0.791667
2460311.569444, -5.333330,     2024-01-02 01:40:00, 2024-01-01 18:40:00,   1.125638, 1.9366e-02, -44.287, -15.787, 57.070, 7.44,  12.91, 21.56,     1.839,    49,    1, 0.791667
2460311.576389, -5.166670,     2024-01-02 01:50:00, 2024-01-01 18:50:00,   1.292761, 1.4493e-01, -43.040, -17.813, 56.358, 7.12,  12.91, 22.23,     0.962,    50,    1, 0.791667
2460311.583333, -5.000000,     2024-01-02 02:00:00, 2024-01-01 19:00:00,   1.459884, 1.7208e-01, -41.717, -19.851, 56.098, 7.04,  12.90, 22.36,     0.972,    51,    1, 0.791667
2460311.590278, -4.833330,     2024-01-02 02:10:00, 2024-01-01 19:10:00,   1.627007, 1.6025e-01, -40.323, -21.900, 57.395, 6.77,  12.90, 22.18,     1.712,    52,    1, 0.791667
2460311.597222, -4.666670,     2024-01-02 02:20:00, 2024-01-01 19:20:00,   1.794130, 1.0625e-01, -38.866, -23.959, 58.652, 6.48,  12.89, 21.90,     1.843,    53,    1, 0.791667
2460311.604167, -4.500000,     2024-01-02 02:30:00, 2024-01-01 19:30:00,   1.961253, 1.4451e-02, -37.349, -26.028, 59.865, 6.09,  12.87, 22.48,     1.811,    54,    1, 0.791667
2460311.611111, -4.333330,     2024-01-02 02:40:00, 2024-01-01 19:40:00,   2.128376, 5.1120e-02, -35.779, -28.105, 61.024, 5.86,  12.88, 22.15,     1.417,    55,    1, 0.791667
2460311.618056, -4.166670,     2024-01-02 02:50:00, 2024-01-01 19:50:00,   2.295499, 4.6080e-02, -34.160, -30.190, 62.123, 5.74,  12.88, 22.06,     1.605,    56,    1, 0.791667
2460311.625000, -4.000000,     2024-01-02 03:00:00, 2024-01-01 20:00:00,   2.462622, 3.6206e-02, -32.496, -32.281, 63.153, 5.62,  12.87, 21.94,     0.604,    57,    1, 0.791667
2460311.631944, -3.833330,     2024-01-02 03:10:00, 2024-01-01 20:10:00,   2.629745, 3.2914e-03, -30.792, -34.379, 64.105, 5.53,  12.87, 22.30,     1.125,    58,    1, 0.791667
2460311.638889, -3.666670,     2024-01-02 03:20:00, 2024-01-01 20:20:00,   2.796868, 1.2800e-03, -29.050, -36.483, 64.968, 5.62,  12.86, 22.18,     1.338,    59,    1, 0.791667
2460311.645833, -3.500000,     2024-01-02 03:30:00, 2024-01-01 20:30:00,   2.963991, 1.2263e-02, -27.273, -38.591, 65.733, 5.46,  12.84, 22.30,     0.970,    60,    1, 0.791667
2460311.652778, -3.333330,     2024-01-02 03:40:00, 2024-01-01 20:40:00,   3.131114, 3.2514e-03, -25.466, -40.703, 66.390, 5.43,  12.85, 22.42,     1.078,    61,    1, 0.791667
2460311.659722, -3.166670,     2024-01-02 03:50:00, 2024-01-01 20:50:00,   3.298237, 3.3680e-02, -23.631, -42.818, 66.927, 5.62,  12.85, 22.66,     0.080,    62,    1, 0.791667
2460311.666667, -3.000000,     2024-01-02 04:00:00, 2024-01-01 21:00:00,   3.465360, 2.8331e-02, -21.770, -44.935, 67.337, 5.90,  12.85, 22.86,     0.408,    63,    1, 0.791667
2460311.673611, -2.833330,     2024-01-02 04:10:00, 2024-01-01 21:10:00,   3.632483, 3.2143e-02, -19.885, -47.054, 67.612, 6.29,  12.84, 22.83,     1.385,    64,    1, 0.791667
2460311.680556, -2.666670,     2024-01-02 04:20:00, 2024-01-01 21:20:00,   3.799606, 2.9571e-02, -17.979, -49.172, 67.747, 5.92,  12.84, 22.60,     1.835,    65,    1, 0.791667
2460311.687500, -2.500000,     2024-01-02 04:30:00, 2024-01-01 21:30:00,   3.966729, 2.9716e-01, -16.053, -51.290, 67.738, 5.82,  12.81, 22.69,     1.909,    66,    1, 0.791667
2460311.694444, -2.333330,     2024-01-02 04:40:00, 2024-01-01 21:40:00,   4.133852, 1.4378e-01, -14.110, -53.405, 68.471, 6.90,  12.83, 22.35,     2.581,    67,    1, 0.791667
2460311.701389, -2.166670,     2024-01-02 04:50:00, 2024-01-01 21:50:00,   4.300975, 6.9356e-02, -12.151, -55.516, 70.594, 7.01,  12.83, 22.33,     2.583,    68,    1, 0.791667
2460311.708333, -2.000000,     2024-01-02 05:00:00, 2024-01-01 22:00:00,   4.468098, 8.5905e-02, -10.177, -57.621, 72.714, 6.12,  12.83, 22.18,     1.516,    69,    1, 0.791667
2460311.715278, -1.833330,     2024-01-02 05:10:00, 2024-01-01 22:10:00,   4.635221, 1.9369e-01, -8.190, -59.718, 74.827, 5.64,  12.82, 22.18,     1.034,    70,    1, 0.791667
2460311.722222, -1.666670,     2024-01-02 05:20:00, 2024-01-01 22:20:00,   4.802344, 7.5416e-01, -6.192, -61.804, 76.930, 5.35,  12.82, 21.86,     2.484,    71,    1, 0.791667
2460311.729167, -1.500000,     2024-01-02 05:30:00, 2024-01-01 22:30:00,   4.969467, 7.1229e-01, -4.183, -63.875, 79.014, 5.47,  12.80, 21.98,     2.019,    72,    1, 0.791667
2460311.736111, -1.333330,     2024-01-02 05:40:00, 2024-01-01 22:40:00,   5.136590, 7.5116e-01, -2.166, -65.926, 81.065, 6.61,  12.81, 21.93,     1.926,    73,    1, 0.791667
2460311.743056, -1.166670,     2024-01-02 05:50:00, 2024-01-01 22:50:00,   5.303712, 7.6708e-01, -0.140, -67.950, 83.052, 6.76,  12.81, 21.32,     2.051,    74,    1, 0.791667
2460311.750000, -1.000000,     2024-01-02 06:00:00, 2024-01-01 23:00:00,   5.470835, 7.6668e-01, 1.893, -69.939, 84.898, 7.31,  12.80, 22.38,     2.053,    75,    1, 0.791667
2460311.756944, -0.833330,     2024-01-02 06:10:00, 2024-01-01 23:10:00,   5.637958, 8.1784e-01, 3.931, -71.879, 86.381, 7.37,  12.80, 21.54,     2.841,    76,    1, 0.791667
2460311.763889, -0.666670,     2024-01-02 06:20:00, 2024-01-01 23:20:00,   5.805081, 1.0496e+00, 5.973, -73.753, 86.919, 5.44,  12.80, 21.37,     3.715,    77,    1, 0.791667
2460311.770833, -0.500000,     2024-01-02 06:30:00, 2024-01-01 23:30:00,   5.972204, 1.0134e+00, 8.020, -75.534, 86.099, 5.04,  12.78, 21.29,     2.668,    78,    1, 0.791667
2460311.777778, -0.333330,     2024-01-02 06:40:00, 2024-01-01 23:40:00,   6.139327, 1.1133e+00, 10.068, -77.181, 84.498, 5.02,  12.79, 21.28,     2.346,    79,    1, 0.791667
2460311.784722, -0.166670,     2024-01-02 06:50:00, 2024-01-01 23:50:00,   6.306450, 6.8780e-01, 12.118, -78.637, 82.608, 4.99,  12.79, 20.93,     2.110,    80,    1, 0.791667
2460311.791667, 0.000000,     2024-01-02 07:00:00, 2024-01-02 00:00:00,   6.473573, 6.1253e-01, 14.167, -79.816, 80.602, 5.47,  12.79, 20.29,     2.782,    81,    1, 0.791667
2460311.798611, 0.166670,     2024-01-02 07:10:00, 2024-01-02 00:10:00,   6.640696, 6.1905e-01, 16.216, -80.615, 78.542, 5.49,  12.78, 20.56,     1.899,    82,    1, 0.791667
2460311.805556, 0.333330,     2024-01-02 07:20:00, 2024-01-02 00:20:00,   6.807819, 6.0968e-01, 18.262, -80.932, 76.453, 5.40,  12.78, 20.76,     2.224,    83,    1, 0.791667
2460311.812500, 0.500000,     2024-01-02 07:30:00, 2024-01-02 00:30:00,   6.974942, 6.5812e-01, 20.305, -80.716, 74.347, 5.31,  12.76, 20.36,     2.448,    84,    1, 0.791667
2460311.819444, 0.666670,     2024-01-02 07:40:00, 2024-01-02 00:40:00,   7.142065, 8.7232e-01, 22.342, -80.004, 72.232, 5.16,  12.77, 19.57,     2.614,    85,    1, 0.791667
2460311.826389, 0.833330,     2024-01-02 07:50:00, 2024-01-02 00:50:00,   7.309188, 9.1165e-01, 24.373, -78.889, 70.111, 5.20,  12.77, 19.92,     2.639,    86,    1, 0.791667
2460311.833333, 1.000000,     2024-01-02 08:00:00, 2024-01-02 01:00:00,   7.476311, 1.5187e+00, 26.395, -77.480, 67.987, 5.22,  12.77, 19.63,     3.138,    87,    1, 0.791667
2460311.840278, 1.166670,     2024-01-02 08:10:00, 2024-01-02 01:10:00,   7.643434, 2.4656e+00, 28.408, -75.864, 65.862, 4.55,  12.76, 19.70,     3.315,    88,    1, 0.791667
2460311.847222, 1.333330,     2024-01-02 08:20:00, 2024-01-02 01:20:00,   7.810557, 1.4807e+00, 30.409, -74.106, 63.736, 2.65,  12.76, 20.06,     4.707,    89,    1, 0.791667
2460311.854167, 1.500000,     2024-01-02 08:30:00, 2024-01-02 01:30:00,   7.977680, 1.0250e+00, 32.395, -72.247, 61.612, 2.39,  12.74, 19.98,     4.497,    90,    1, 0.791667
2460311.861111, 1.666670,     2024-01-02 08:40:00, 2024-01-02 01:40:00,   8.144803, 1.6751e+00, 34.365, -70.318, 59.490, 2.30,  12.75, 20.58,     3.281,    91,    1, 0.791667
2460311.868056, 1.833330,     2024-01-02 08:50:00, 2024-01-02 01:50:00,   8.311926, 1.8210e+00, 36.316, -68.337, 57.370, 2.54,  12.75, 21.24,     1.962,    92,    1, 0.791667
2460311.875000, 2.000000,     2024-01-02 09:00:00, 2024-01-02 02:00:00,   8.479049, 1.9873e+00, 38.245, -66.318, 55.253, 2.30,  12.75, 20.86,     2.321,    93,    1, 0.791667
2460311.881944, 2.166670,     2024-01-02 09:10:00, 2024-01-02 02:10:00,   8.646172, 2.0946e+00, 40.148, -64.272, 53.140, 1.85,  12.74, 20.35,     0.853,    94,    1, 0.791667
2460311.888889, 2.333330,     2024-01-02 09:20:00, 2024-01-02 02:20:00,   8.813295, 1.6470e+00, 42.022, -62.204, 51.032, 1.52,  12.74, 20.01,     0.850,    95,    1, 0.791667
2460311.895833, 2.500000,     2024-01-02 09:30:00, 2024-01-02 02:30:00,   8.980418, 7.8296e-01, 43.863, -60.121, 48.928, 1.60,  12.72, 20.29,     1.141,    96,    1, 0.791667
2460311.902778, 2.666670,     2024-01-02 09:40:00, 2024-01-02 02:40:00,   9.147541, 7.6838e-01, 45.664, -58.025, 46.830, 1.61,  12.73, 19.94,     0.920,    97,    1, 0.791667
2460311.909722, 2.833330,     2024-01-02 09:50:00, 2024-01-02 02:50:00,   9.314664, 5.5762e-01, 47.422, -55.921, 44.738, 1.74,  12.73, 19.34,     0.831,    98,    1, 0.791667
2460311.916667, 3.000000,     2024-01-02 10:00:00, 2024-01-02 03:00:00,   9.481787, 4.0489e-01, 49.129, -53.810, 42.652, 1.79,  12.73, 19.61,     1.600,    99,    1, 0.791667
2460311.923611, 3.166670,     2024-01-02 10:10:00, 2024-01-02 03:10:00,   9.648910, 3.9536e-01, 50.778, -51.696, 40.573, 1.84,  12.72, 19.71,     2.159,   100,    1, 0.791667
2460311.930556, 3.333330,     2024-01-02 10:20:00, 2024-01-02 03:20:00,   9.816033, 6.7291e-02, 52.361, -49.578, 38.501, 1.63,  12.71, 19.70,     2.772,   101,    1, 0.791667
2460311.937500, 3.500000,     2024-01-02 10:30:00, 2024-01-02 03:30:00,   9.983156, 1.1333e-01, 53.868, -47.459, 36.438, 1.01,  12.69, 19.25,     3.092,   102,    1, 0.791667
2460311.944444, 3.666670,     2024-01-02 10:40:00, 2024-01-02 03:40:00,  10.150279, 9.4629e-03, 55.290, -45.340, 34.383, 0.75,  12.71, 19.14,     2.266,   103,    1, 0.791667
2460311.951389, 3.833330,     2024-01-02 10:50:00, 2024-01-02 03:50:00,  10.317402, 3.7851e-02, 56.614, -43.222, 32.338, 0.45,  12.71, 19.14,     2.601,   104,    1, 0.791667
2460311.958333, 4.000000,     2024-01-02 11:00:00, 2024-01-02 04:00:00,  10.484525, 4.4823e-02, 57.829, -41.106, 30.302, 0.22,  12.70, 19.10,     1.163,   105,    1, 0.791667
2460311.965278, 4.166670,     2024-01-02 11:10:00, 2024-01-02 04:10:00,  10.651648, 1.4531e-02, 58.920, -38.993, 28.277, 0.21,  12.70, 19.27,     0.962,   106,    1, 0.791667
2460311.972222, 4.333330,     2024-01-02 11:20:00, 2024-01-02 04:20:00,  10.818771, 3.2857e-03, 59.873, -36.883, 26.263, 0.14,  12.69, 18.67,     1.093,   107,    1, 0.791667
2460311.979167, 4.500000,     2024-01-02 11:30:00, 2024-01-02 04:30:00,  10.985894, 7.4903e-02, 60.676, -34.778, 24.261, 0.10,  12.67, 18.40,     0.607,   108,    1, 0.791667
2460311.986111, 4.666670,     2024-01-02 11:40:00, 2024-01-02 04:40:00,  11.153017, 6.3246e-02, 61.315, -32.678, 22.272, 0.11,  12.68, 18.42,     0.436,   109,    1, 0.791667
2460311.993056, 4.833330,     2024-01-02 11:50:00, 2024-01-02 04:50:00,  11.320140, 1.3093e-01, 61.778, -30.585, 20.297, 0.08,  12.68, 18.32,     0.385,   110,    1, 0.791667
2460312.000000, 5.000000,     2024-01-02 12:00:00, 2024-01-02 05:00:00,  11.487263, 2.2206e-02, 62.057, -28.498, 18.336, 0.26,  12.67, 18.20,     0.594,   111,    1, 0.791667
2460312.006944, 5.166670,     2024-01-02 12:10:00, 2024-01-02 05:10:00,  11.654386, 1.3326e-02, 62.146, -26.418, 16.390, 0.49,  12.67, 18.16,     0.386,   112,    1, 0.791667
2460312.013889, 5.333330,     2024-01-02 12:20:00, 2024-01-02 05:20:00,  11.821509, 4.0000e-03, 62.043, -24.347, 14.461, 0.50,  12.67, 18.45,     0.353,   113,    1, 0.791667
2460312.020833, 5.500000,     2024-01-02 12:30:00, 2024-01-02 05:30:00,  11.988632, 1.2571e-02, 61.749, -22.285, 12.549, 0.37,  12.64, 18.00,     0.873,   114,    1, 0.791667
2460312.027778, 5.666670,     2024-01-02 12:40:00, 2024-01-02 05:40:00,  12.155755, 9.2131e-02, 61.272, -20.233, 10.656, 0.24,  12.65, 18.36,     1.076,   115,    1, 0.791667
2460312.034722, 5.833330,     2024-01-02 12:50:00, 2024-01-02 05:50:00,  12.322878, 1.2110e-01, 60.619, -18.192, 8.782, 0.58,  12.65, 18.31,     1.355,   116,    1, 0.791667
2460312.041667, 6.000000,     2024-01-02 13:00:00, 2024-01-02 06:00:00,  12.490001, 1.2050e-01, 59.802, -16.162, 6.929, 0.58,  12.64, 18.32,     1.654,   117,    1, 0.791667
2460312.048611, 6.166670,     2024-01-02 13:10:00, 2024-01-02 06:10:00,  12.657124, 9.7051e-02, 58.835, -14.145, 5.767, 0.59,  12.64, 18.33,     1.180,   118,    1, 0.791667
2460312.055556, 6.333330,     2024-01-02 13:20:00, 2024-01-02 06:20:00,  12.824246, 2.0823e-02, 57.730, -12.142, 4.876, 0.51,  12.63, 18.41,     1.197,   119,    1, 0.791667
2460312.062500, 6.500000,     2024-01-02 13:30:00, 2024-01-02 06:30:00,  12.991369, 2.5143e-04, 56.503, -10.153, 5.194, 0.54,  12.61, 17.85,     1.103,   120,    1, 0.791667
2460312.069444, 6.666670,     2024-01-02 13:40:00, 2024-01-02 06:40:00,  13.158492, 4.9651e-02, 55.165, -8.179, 6.193, 0.62,  12.62, 17.07,     1.443,   121,    1, 0.791667
2460312.076389, 6.833330,     2024-01-02 13:50:00, 2024-01-02 06:50:00,  13.325615, 2.6651e-02, 53.730, -6.223, 7.664, 0.71,  12.62, 15.25,     1.601,   122,    1, 0.791667
2460312.083333, 7.000000,     2024-01-02 14:00:00, 2024-01-02 07:00:00,  13.492738, 3.7966e-02, 52.209, -4.284, 9.164, 0.56,  12.61, 12.64,     1.215,   123,    1, 0.791667
2460312.527778, -6.333330,     2024-01-03 00:40:00, 2024-01-02 17:40:00,   0.188609, 7.7823e-02, -56.727, -3.795, 59.778, 3.68,  12.94, 9.18,     3.352,   124,    2, 0.791667
2460312.534722, -6.166670,     2024-01-03 00:50:00, 2024-01-02 17:50:00,   0.355732, 1.5029e-03, -56.550, -5.729, 59.472, 3.39,  12.93, 11.37,     2.725,   125,    2, 0.791667
2460312.541667, -6.000000,     2024-01-03 01:00:00, 2024-01-02 18:00:00,   0.522855, 7.0400e-03, -56.221, -7.681, 59.085, 3.10,  12.93, 14.02,     2.918,   126,    2, 0.791667
2460312.548611, -5.833330,     2024-01-03 01:10:00, 2024-01-02 18:10:00,   0.689978, 2.6423e-02, -55.743, -9.651, 58.620, 3.05,  12.92, 16.44,     3.027,   127,    2, 0.791667
2460312.555556, -5.666670,     2024-01-03 01:20:00, 2024-01-02 18:20:00,   0.857101, 1.1223e-02, -55.124, -11.636, 58.081, 2.97,  12.91, 18.46,     3.020,   128,    2, 0.791667
2460312.562500, -5.500000,     2024-01-03 01:30:00, 2024-01-02 18:30:00,   1.024224, 4.7931e-02, -54.370, -13.636, 57.472, 2.91,  12.88, 20.23,     3.026,   129,    2, 0.791667
2460312.569444, -5.333330,     2024-01-03 01:40:00, 2024-01-02 18:40:00,   1.191347, 1.2766e-02, -53.489, -15.650, 56.798, 2.84,  12.89, 21.41,     2.350,   130,    2, 0.791667
2460312.576389, -5.166670,     2024-01-03 01:50:00, 2024-01-02 18:50:00,   1.358470, 4.2286e-04, -52.492, -17.676, 56.062, 2.65,  12.89, 21.83,     2.272,   131,    2, 0.791667
2460312.583333, -5.000000,     2024-01-03 02:00:00, 2024-01-02 19:00:00,   1.525593, 4.5714e-05, -51.387, -19.715, 56.612, 2.75,  12.89, 21.91,     2.257,   132,    2, 0.791667
2460312.590278, -4.833330,     2024-01-03 02:10:00, 2024-01-02 19:10:00,   1.692716, 4.5714e-05, -50.184, -21.764, 57.894, 2.84,  12.88, 21.92,     2.051,   133,    2, 0.791667
